Station_ID,Peak_Flow
6918440,8080
6918440,8650
6918440,10700
6918440,13700
6918440,14600
6918440,18400
6918440,19800
6918440,25900
6918440,31800
6918440,36100
6918460,1490
6918460,1670
6918460,2040
6918460,2040
6918460,2170
6918460,3170
6918460,3290
6918460,3740
6918460,3900
6918460,3950
6918460,3960
6918460,4170
6918460,4650
6918460,5680
6918460,8180
6918460,8880
6918460,8940
6918460,9420
6918460,9910
6918460,12800
6918460,13800
6918460,14300
6918460,15500
6918460,17500
6918460,18700
6918460,19400
6918460,27100
6918460,28400
6918460,40400
6918460,42700
6918740,1840
6918740,1840
6918740,2560
6918740,5030
6918740,5190
6918740,5570
6918740,6120
6918740,6230
6918740,7320
6918740,7950
6918740,8200
6918740,9220
6918740,9810
6918740,9990
6918740,10200
6918740,10600
6918740,11100
6918740,11400
6918740,12000
6918740,12000
6918740,12600
6918740,14400
6918740,15300
6918740,16800
6918740,19100
6918740,20400
6918740,25000
6918740,28600
6918740,29100
6918740,33700
6919020,2280
6919020,3660
6919020,5860
6919020,6030
6919020,6100
6919020,6230
6919020,6260
6919020,6340
6919020,6380
6919020,6470
6919020,6470
6919020,6630
6919020,6760
6919020,6850
6919020,7070
6919020,7330
6919020,7650
6919020,8090
6919020,8150
6919020,8260
6919020,9280
6919020,9930
6919020,10100
6919020,10500
6919020,10600
6919020,11400
6919020,11500
6919020,13300
6919020,13700
6919500,478
6919500,1940
6919500,2110
6919500,2840
6919500,3340
6919500,3750
6919500,5090
6919500,6190
6919500,6670
6919500,8220
6919500,8610
6919500,8990
6919500,9030
6919500,9170
6919500,9320
6919500,11000
6919500,12000
6919500,14100
6919500,14800
6919500,14800
6919500,15300
6919500,16400
6919500,16800
6919500,17200
6919500,21000
6919500,22700
6919500,23500
6919500,29200
6919500,32600
6919500,36300
6919900,2000
6919900,3280
6919900,4090
6919900,4960
6919900,7390
6919900,7590
6919900,8880
6919900,10800
6919900,10900
6919900,11900
6919900,12100
6919900,12200
6919900,13400
6919900,14300
6919900,14400
6919900,18600
6919900,19100
6919900,20500
6919900,21100
6919900,21700
6919900,22600
6919900,22700
6919900,23100
6919900,23300
6919900,29200
6919900,33300
6919900,41500
6919900,49600
6919900,51200
6919900,61500
6921070,3640
6921070,3720
6921070,4040
6921070,4540
6921070,7470
6921070,8650
6921070,11400
6921070,12500
6921070,12800
6921070,13300
6921070,13600
6921070,14100
6921070,14100
6921070,14300
6921070,14400
6921070,14500
6921070,14800
6921070,15500
6921070,15900
6921070,16000
6921070,17700
6921070,18500
6921070,18900
6921070,18900
6921070,21000
6921070,22800
6921070,27600
6921070,34300
6921070,38200
6921200,2490
6921200,2660
6921200,3040
6921200,3500
6921200,4170
6921200,4810
6921200,5930
6921200,6460
6921200,6580
6921200,8010
6921200,8640
6921200,8950
6921200,9030
6921200,9300
6921200,9500
6921200,9730
6921200,10600
6921200,12400
6921200,12500
6921200,13200
6921200,16000
6921200,17000
6921200,18900
6921200,19000
6921200,19400
6921200,19600
6921200,21300
6921200,24100
6921200,24600
6921350,469
6921350,1020
6921350,1530
6921350,1920
6921350,2020
6921350,2420
6921350,2580
6921350,2680
6921350,2720
6921350,2730
6921350,2890
6921350,2990
6921350,3070
6921350,3070
6921350,3120
6921350,3210
6921350,3260
6921350,3430
6921350,3560
6921350,3580
6921350,3600
6921350,3600
6921350,3600
6921350,3630
6921350,3630
6921350,3670
6921350,3710
6921350,3850
6921350,3850
6921590,4660
6921590,8270
6921590,8500
6921590,10900
6921590,11000
6921590,11200
6921590,11400
6921590,12100
6921590,12500
6921590,15300
6921590,15800
6921590,17400
6921590,31800
6921590,34700
6921720,6710
6921720,7390
6921720,7630
6921720,7890
6921720,8740
6921720,9340
6921720,9410
6921720,10600
6921720,11300
6921720,15700
6921720,15800
6921720,16200
6921720,18000
6921720,20600
6923500,214
6923500,734
6923500,939
6923500,1310
6923500,1430
6923500,1730
6923500,1880
6923500,2110
6923500,2390
6923500,2750
6923500,2880
6923500,2950
6923500,3410
6923500,3820
6923500,4010
6923500,5000
6923500,6250
6923500,6380
6923500,8370
6926000,32000
6926000,32800
6926000,33400
6926000,34000
6926000,34100
6926000,34400
6926000,35500
6926000,35900
6926000,37100
6926000,38500
6926000,38900
6926000,42300
6926000,50000
6926000,50500
6926000,51200
6926000,52500
6926000,53100
6926000,54200
6926000,54500
6926000,58500
6926000,58900
6926000,61000
6926000,65800
6926000,66000
6926000,69600
6926000,82400
6926000,84000
6926000,86400
6926000,109000
6926000,113000
6927000,5930
6927000,7700
6927000,8210
6927000,8370
6927000,8630
6927000,9490
6927000,10500
6927000,11400
6927000,12700
6927000,12700
6927000,13000
6927000,15800
6927000,17600
6927000,18300
6927000,21000
6927000,22000
6927000,22900
6927000,25900
6927000,26000
6927000,27400
6927000,35800
6927000,36700
6927000,41800
6928000,5640
6928000,7380
6928000,19700
6928000,20200
6928000,21500
6928000,22300
6928000,24100
6928000,31200
6928000,39900
6928000,43100
6928000,43200
6928000,47000
6928000,48100
6928000,49500
6928000,62300
6928000,62700
6928000,64300
6928000,82900
6928000,89500
6928000,119000
6930000,683
6930000,3420
6930000,4520
6930000,7070
6930000,8490
6930000,9260
6930000,9920
6930000,10800
6930000,11900
6930000,12400
6930000,13300
6930000,15800
6930000,17000
6930000,18000
6930000,20000
6930000,21500
6930000,23800
6930000,25400
6930000,26800
6930000,30000
6930000,30800
6930000,31100
6930000,38300
6930000,57700
6930000,64000
6930000,90200
6932000,561
6932000,2220
6932000,2940
6932000,3210
6932000,3380
6932000,3740
6932000,6050
6932000,6330
6932000,6450
6932000,7340
6932000,7670
6932000,7780
6932000,7970
6932000,8040
6932000,9190
6932000,9240
6932000,9700
6932000,9860
6932000,11300
6932000,11900
6932000,12300
6932000,14000
6932000,15200
6932000,15800
6932000,17800
6932000,20100
6932000,21000
6932000,21300
6932000,24000
6932000,24000
6933500,4750
6933500,9150
6933500,9950
6933500,14400
6933500,15400
6933500,25700
6933500,27300
6933500,27500
6933500,30100
6933500,30400
6933500,31200
6933500,33100
6933500,34100
6933500,37800
6933500,40500
6933500,41600
6933500,44100
6933500,48600
6933500,48600
6933500,49100
6933500,51700
6933500,56900
6933500,62300
6933500,85100
6933500,110000
6933500,118000
6933500,138000
6933500,140000
6933500,197000
6934000,5670
6934000,13800
6934000,15300
6934000,16100
6934000,16600
6934000,26600
6934000,27600
6934000,28400
6934000,28700
6934000,28800
6934000,30300
6934000,32200
6934000,34600
6934000,37400
6934000,39900
6934000,40600
6934000,41200
6934000,45100
6934000,47100
6934000,47200
6934000,47400
6934000,49500
6934000,52300
6934000,65700
6934000,88000
6934000,106000
6934000,119000
6934000,135000
6934000,143000
6934000,190000
6934500,145000
6934500,147000
6934500,158000
6934500,164000
6934500,177000
6934500,188000
6934500,193000
6934500,214000
6934500,249000
6934500,267000
6934500,274000
6934500,279000
6934500,287000
6934500,294000
6934500,297000
6934500,301000
6934500,303000
6934500,316000
6934500,321000
6934500,348000
6934500,350000
6934500,350000
6934500,357000
6934500,403000
6934500,445000
6934500,457000
6934500,468000
6934500,515000
6934500,579000
6934500,750000
7010350,943
7010350,1090
7010350,2760
7010350,6110
7010350,7680
7010350,8480
7010350,9240
7010350,9600
7010350,10800
7010350,17400
7010350,18100
7010350,19400
7010350,26200
7013000,1070
7013000,3820
7013000,4310
7013000,6430
7013000,8490
7013000,9050
7013000,9850
7013000,10300
7013000,10800
7013000,12500
7013000,13700
7013000,15200
7013000,16100
7013000,16200
7013000,16900
7013000,17800
7013000,18800
7013000,19900
7013000,20200
7013000,21200
7013000,21600
7013000,21900
7013000,22300
7013000,29400
7013000,40500
7013000,44700
7013000,52700
7013000,55800
7013000,62200
7014500,2950
7014500,6910
7014500,10200
7014500,11400
7014500,13100
7014500,14800
7014500,15800
7014500,16900
7014500,19800
7014500,19900
7014500,22200
7014500,23300
7014500,23500
7014500,25000
7014500,25500
7014500,27500
