StationID,PeakValue
6803500,15600
6803500,12900
6803500,8290
6803500,18200
6803500,3940
6803500,23200
6803500,19200
6805500,124000
6805500,19400
6805500,60400
6805500,119000
6805500,85600
6805500,72800
6805500,63600
6805500,120000
6805500,33000
6805500,60800
6805500,13400
6805500,58300
6805500,22000
6805500,48200
6805500,42400
6805500,28500
6805500,19700
6805500,27200
6805500,112000
6805500,52000
6805500,31600
6805500,42000
6805500,48800
6805500,69000
6805500,144000
6805500,41000
6805500,45400
6805500,103000
6805500,24000
6805500,42800
6805500,67000
6807000,178000
6807000,55800
6807000,151000
6807000,92400
6807000,108000
6807000,94200
6807000,90100
6807000,166000
6807000,71000
6807000,105000
6807000,56600
6807000,114000
6807000,86500
6807000,86800
6807000,86700
6807000,73600
6807000,77300
6807000,64100
6807000,156000
6807000,122000
6807000,74800
6807000,61200
6807000,113000
6807000,121000
6807000,182000
6807000,83900
6807000,99800
6807000,121000
6807000,49000
6807000,87300
6807000,115000
6811500,48000
6811500,7410
6811500,20900
6811500,20300
6811500,23300
6811500,36000
6811500,5380
6811500,28800
6811500,3460
6811500,19600
6811500,4000
6811500,7020
6811500,2050
6811500,26500
6811500,27300
6811500,2700
6811500,10000
6811500,32000
6811500,54900
6811500,53800
6811500,4850
6811500,1400
6811500,23200
6811500,9880
6811500,27300
6811500,4260
6811500,21200
6811500,28300
6811500,4850
6811500,26600
6811500,17900
6813500,181000
6813500,80100
6813500,142000
6813500,102000
6813500,116000
6813500,118000
6813500,88900
6813500,151000
6813500,68500
6813500,109000
6813500,60500
6813500,131000
6813500,94200
6813500,120000
6813500,125000
6813500,86600
6813500,79400
6813500,83100
6813500,161000
6813500,136000
6813500,84600
6813500,63200
6813500,126000
6813500,122000
6813500,242000
6813500,88800
6813500,113000
6813500,146000
6813500,52000
6813500,118000
6813500,120000
6823500,25
6823500,24
6823500,43
6823500,21
6823500,22
6823500,56
6823500,20
6823500,58
6823500,17
6823500,56
6823500,21
6823500,30
6823500,18
6823500,35
6823500,25
6823500,15
6823500,20
6823500,24
6823500,16
6823500,17
6823500,29
6823500,29
6823500,17
6823500,15
6823500,35
6823500,18
6823500,14
6823500,36
6823500,28
6823500,11
6823500,9.5
6828500,4320
6828500,1820
6828500,26800
6828500,4620
6828500,1920
6828500,6000
6828500,4480
6828500,6300
6828500,1340
6828500,5740
6828500,3540
6828500,1610
6828500,2260
6828500,2940
6828500,1300
6828500,3540
6828500,1240
6828500,2410
6828500,2010
6828500,6190
6828500,855
6828500,3400
6828500,2070
6828500,1080
6828500,873
6828500,1920
6828500,2100
6828500,3520
6828500,850
6828500,3290
6828500,1330
