StationID,PeakValue
5484800,2430
5484800,1820
5484800,2460
5484800,3240
5484800,3370
5484800,2830
5484800,2170
5484800,3690
5484800,4330
5484800,2380
5484800,11700
5484800,3220
5484800,2910
5484800,2230
5484800,3040
5484800,9720
5484800,3070
5484800,1860
5484800,10600
5484800,3900
5484800,2490
5485500,45900
5485500,27700
5485500,116000
5485500,20600
5485500,24000
5485500,26100
5485500,21100
5485500,49600
5485500,35500
5485500,11800
5485500,28000
5485500,14800
5485500,29200
5485500,39400
5485500,29600
5485500,21300
5485500,41900
5485500,104000
5485500,26000
5485500,57700
5485500,28500
5485500,13000
5485500,40100
5485500,36800
5485500,56400
5485500,38600
5485500,28100
5485500,48800
5485500,51400
5485500,26800
5485640,1520
5485640,1350
5485640,4210
5485640,779
5485640,1540
5485640,2110
5485640,1550
5485640,5600
5485640,2440
5485640,2100
5485640,1390
5485640,636
5485640,1980
5485640,4960
5485640,3230
5485640,1210
5485640,3950
5485640,6810
5485640,2550
5485640,9620
5485640,2640
5485640,1620
5485640,1300
5485640,3150
5485640,3150
5485640,3020
5485640,683
5485640,12000
5485640,3880
5485640,1220
5486490,11300
5486490,13500
5486490,10000
5486490,3580
5486490,7230
5486490,12300
5486490,7690
5486490,11500
5486490,7420
5486490,5210
5486490,5770
5486490,1190
5486490,4170
5486490,9990
5486490,10800
5486490,1060
5486490,12600
5486490,19000
5486490,12000
5486490,12700
5486490,15100
5486490,9650
5486490,12200
5486490,15100
5486490,15900
5486490,13000
5486490,5140
5486490,6540
5486490,10800
5486490,10700
5487980,11400
5487980,30300
5487980,25500
5487980,4910
5487980,6000
5487980,11900
5487980,8470
5487980,9640
5487980,5860
5487980,6390
5487980,7880
5487980,4010
5487980,6740
5487980,7580
5487980,8480
5487980,2030
5487980,12100
5487980,16900
5487980,11200
5487980,14900
5487980,11700
5487980,8270
5487980,15400
5487980,12500
5487980,29700
5487980,9880
5487980,5630
5487980,5520
5487980,11500
5487980,4250
6483500,1390
6483500,5470
6483500,29300
6483500,23100
6483500,6740
6483500,6980
6483500,14600
6483500,2580
6483500,5000
6483500,2900
6483500,21600
6483500,1250
6483500,1230
6483500,8380
6483500,4460
6483500,17900
6483500,15600
6483500,13100
6483500,4910
6483500,24200
6483500,7440
6483500,7380
6483500,5590
