StationID,Recurrence_Interval,Flood_Magnitude
5508805,50,22312.01788
5508805,100,24062.71614
5512500,2,3974.21856
5512500,5,7488.490796
5512500,10,10006.89146
5512500,25,13250.29794
5512500,50,15663.71057
5512500,100,18053.53424
5514500,2,31229.94785
5514500,5,54853.52285
5514500,10,71729.23473
5514500,25,93429.05041
5514500,50,109559.4365
5514500,100,125522.3281
5570000,2,13016.86798
5570000,5,21408.30816
5570000,10,27479.60074
5570000,25,35335.74105
5570000,50,41199.27336
5570000,100,47016.1538
5584500,2,8391.591374
5584500,5,15407.38336
5584500,10,20673.78043
5584500,25,27610.32184
5584500,50,32845.79666
5584500,100,38074.3448
5586100,2,81214.96717
5586100,5,100172.4719
5586100,10,108696.3456
5586100,25,116799.0961
5586100,50,121516.94
5586100,100,125429.3703
5587000,2,11483.89879
5587000,5,20996.0767
5587000,10,28107.06054
5587000,25,37454.94192
5587000,50,44501.85899
5587000,100,51534.42093
6813000,2,9042.368202
6813000,5,11012.30065
6813000,10,11878.58488
6813000,25,12687.16172
6813000,50,13149.75254
6813000,100,13527.89231
6819500,2,16566.06011
6819500,5,21796.40486
6819500,10,24210.77245
6819500,25,26555.03658
6819500,50,27947.64505
6819500,100,29121.39164
6820500,2,19406.31225
6820500,5,28795.07374
6820500,10,35048.22254
6820500,25,42802.12052
6820500,50,48427.88941
6820500,100,53912.14536
6821150,2,3953.783351
6821150,5,6525.04557
6821150,10,8158.698194
6821150,25,10132.11739
6821150,50,11537.86167
6821150,100,12892.12761
6821190,2,15898.72279
6821190,5,23629.1446
6821190,10,28890.20816
6821190,25,35489.4412
6821190,50,40315.13229
6821190,100,45042.71609
6893000,2,161592.8502
6893000,5,239954.7827
6893000,10,294213.1225
6893000,25,362886.6858
6893000,50,413407.4317
6893000,100,463086.7019
6893500,2,11398.02464
6893500,5,17876.63325
6893500,10,22462.72725
6893500,25,28332.98148
6893500,50,32683.67516
6893500,100,36981.43868
6893890,2,403.748707
6893890,5,560.8296045
6893890,10,635.5288996
6893890,25,709.7783021
6893890,50,754.8543001
6893890,100,793.5088517
6894000,2,6237.450976
6894000,5,9071.688167
6894000,10,10853.45142
6894000,25,12992.7423
6894000,50,14509.99094
6894000,100,15967.48496
6895000,2,4434.77905
6895000,5,6419.038318
6895000,10,7751.994177
6895000,25,9412.4917
6895000,50,10621.05814
6895000,100,11801.57737
6895500,2,176317.4517
6895500,5,268558.9531
6895500,10,334468.3563
6895500,25,419228.8307
6895500,50,482239.7486
6895500,100,544599.3093
6896000,2,5334.448021
6896000,5,7162.520411
6896000,10,8206.90526
6896000,25,9389.689009
6896000,50,10192.34433
6896000,100,10940.55144
6896400,2,14977.22805
6896400,5,22545.92895
6896400,10,26789.90963
6896400,25,31538.13676
6896400,50,34729.38672
6896400,100,37683.90466
6897000,2,2944.508654
6897000,5,4614.069921
6897000,10,5608.350644
6897000,25,6764.237892
6897000,50,7564.660859
6897000,100,8321.318332
6897500,2,33159.12015
6897500,5,49273.48851
6897500,10,59262.10576
6897500,25,71156.99898
6897500,50,79542.97344
6897500,100,87566.88553
6899500,2,35717.0386
6899500,5,57171.54593
6899500,10,70122.04319
6899500,25,85301.9761
6899500,50,95879.19225
6899500,100,105920.4093
6899700,2,8025.548035
6899700,5,12079.78397
6899700,10,14573.47789
6899700,25,17529.56946
6899700,50,19606.66172
6899700,100,21589.63996
6901500,2,15620.80435
6901500,5,24908.73614
6901500,10,30406.15029
6901500,25,36772.9134
6901500,50,41169.04321
6901500,100,45316.60315
6902000,2,73397.03585
6902000,5,100702.719
6902000,10,115280.009
6902000,25,131056.6698
6902000,50,141376.1986
6902000,100,150744.4133
6904050,2,5591.919346
6904050,5,9303.169492
6904050,10,11775.51895
6904050,25,14841.60744
6904050,50,17066.36797
6904050,100,19235.28241
6904500,2,17989.05188
6904500,5,25388.94588
6904500,10,29448.61119
6904500,25,33925.00454
6904500,50,36898.4087
6904500,100,39628.14227
6905500,2,24846.42622
6905500,5,33543.49402
6905500,10,37719.19456
6905500,25,41900.64746
6905500,50,44456.41519
6905500,100,46659.81687
6906000,2,5239.526665
6906000,5,9167.219877
6906000,10,11858.10184
6906000,25,15245.20071
6906000,50,17727.83091
6906000,100,20163.5492
6906200,2,508.6541531
6906200,5,974.3553402
6906200,10,1296.186477
6906200,25,1703.113909
6906200,50,2002.277169
6906200,100,2296.336483
6906300,2,4394.703215
6906300,5,6319.521891
6906300,10,7652.478171
6906300,25,9339.70072
6906300,50,10580.99495
6906300,100,11801.6527
6907700,2,17201.63076
6907700,5,24653.39382
6907700,10,29677.15926
6907700,25,35947.33606
6907700,50,40516.91453
6907700,100,44984.09994
6908000,2,15298.65308
6908000,5,19719.81833
6908000,10,21958.86628
6908000,25,24292.71178
6908000,50,25771.07639
6908000,100,27081.31977
6909000,2,242362.7068
6909000,5,339751.3334
6909000,10,401792.8191
6909000,25,476851.8148
6909000,50,530377.5528
6909000,100,581979.8992
6909500,2,3431.662686
6909500,5,4189.381917
6909500,10,4523.508175
6909500,25,4836.087657
6909500,50,5015.310832
6909500,100,5162.080741
6910230,2,7312.03658
6910230,5,10723.59026
6910230,10,12658.32032
6910230,25,14839.0118
6910230,50,16313.30232
6910230,100,17683.94358
6910750,2,17590.30461
6910750,5,25402.02501
6910750,10,29700.58372
6910750,25,34450.03546
6910750,50,37610.04002
6910750,100,40514.54719
6918440,2,5662.298311
6918440,5,14154.105
6918440,10,21156.86579
6918440,25,30780.38751
6918440,50,38231.55965
6918440,100,45782.5569
6918460,2,7376.925835
6918460,5,17942.96513
6918460,10,26412.58003
6918460,25,37908.23869
6918460,50,46744.36647
6918460,100,55662.23508
6918740,2,10230.09191
6918740,5,18121.66816
6918740,10,23605.12846
6918740,25,30558.01773
6918740,50,35679.17672
6918740,100,40718.78367
6919020,2,7502.244687
6919020,5,9933.901108
6919020,10,11450.1941
6919020,25,13262.17227
6919020,50,14542.88605
6919020,100,15770.37911
6919500,2,10833.28215
6919500,5,19689.98696
6919500,10,25554.89595
6919500,25,32804.7323
6919500,50,38053.49157
6919500,100,43163.23921
6919900,2,15857.09902
6919900,5,29996.24026
6919900,10,40088.55738
6919900,25,53060.68215
6919900,50,62700.91002
6919900,100,72239.53635
6921070,2,14204.37789
6921070,5,21431.34915
6921070,10,25954.37287
6921070,25,31370.94683
6921070,50,35205.34452
6921070,100,38884.17439
